"COM_NAME","SPECIES_CODE","Count_yr","SpeciesNumber","NumberByPartyHours","ReportingCounts","ReportingObservers","Province_State","year"
"Northern Cardinal","norcar",102,457,0.2984,21,48,"ME",2001
"Northern Cardinal","norcar",103,545,0.4225,21,38,"ME",2002
"Northern Cardinal","norcar",104,656,0.4974,23,55,"ME",2003
"Northern Cardinal","norcar",105,818,0.5506,23,51,"ME",2004
"Northern Cardinal","norcar",106,722,0.4876,26,52,"ME",2005
"Northern Cardinal","norcar",107,938,0.5883,27,43,"ME",2006
"Northern Cardinal","norcar",108,806,0.5561,25,40,"ME",2007
"Northern Cardinal","norcar",109,799,0.5424,25,40,"ME",2008
"Northern Cardinal","norcar",110,935,0.6769,27,43,"ME",2009
"Northern Cardinal","norcar",111,996,0.6003,27,46,"ME",2010
"Northern Cardinal","norcar",112,972,0.5785,30,39,"ME",2011
"Northern Cardinal","norcar",113,1387,0.8665,30,47,"ME",2012
"Northern Cardinal","norcar",114,1365,0.9873,27,43,"ME",2013
"Northern Cardinal","norcar",115,1509,0.924,32,46,"ME",2014
"Northern Cardinal","norcar",116,1338,0.781,30,53,"ME",2015
"Northern Cardinal","norcar",61,1,0.0053,1,12,"NH",1960
"Northern Cardinal","norcar",62,2,0.0097,2,16,"NH",1961
"Northern Cardinal","norcar",63,1,0.0056,1,14,"NH",1962
"Northern Cardinal","norcar",65,2,0.0098,1,7,"NH",1964
"Northern Cardinal","norcar",66,6,0.0157,3,15,"NH",1965
"Northern Cardinal","norcar",67,12,0.0433,5,34,"NH",1966
"Northern Cardinal","norcar",68,11,0.0372,3,32,"NH",1967
"Northern Cardinal","norcar",69,35,0.109,4,32,"NH",1968
"Northern Cardinal","norcar",70,24,0.0889,4,40,"NH",1969
"Northern Cardinal","norcar",71,41,0.1059,4,35,"NH",1970
"Northern Cardinal","norcar",72,50,0.1587,5,26,"NH",1971
"Northern Cardinal","norcar",73,87,0.168,6,35,"NH",1972
"Northern Cardinal","norcar",74,96,0.2,7,53,"NH",1973
"Northern Cardinal","norcar",75,75,0.1368,8,43,"NH",1974
"Northern Cardinal","norcar",76,76,0.1876,7,27,"NH",1975
"Northern Cardinal","norcar",77,110,0.2163,7,39,"NH",1976
"Northern Cardinal","norcar",78,74,0.1432,8,48,"NH",1977
"Northern Cardinal","norcar",79,88,0.1865,8,42,"NH",1978
"Northern Cardinal","norcar",80,171,0.2968,10,60,"NH",1979
"Northern Cardinal","norcar",81,247,0.4547,9,59,"NH",1980
"Northern Cardinal","norcar",82,223,0.3965,8,62,"NH",1981
"Northern Cardinal","norcar",83,214,0.3698,8,46,"NH",1982
"Northern Cardinal","norcar",84,247,0.4102,9,56,"NH",1983
"Northern Cardinal","norcar",85,283,0.4342,10,56,"NH",1984
"Northern Cardinal","norcar",86,314,0.4815,10,73,"NH",1985
"Northern Cardinal","norcar",87,292,0.374,9,49,"NH",1986
"Northern Cardinal","norcar",88,289,0.4281,10,36,"NH",1987
"Northern Cardinal","norcar",89,338,0.4863,11,40,"NH",1988
"Northern Cardinal","norcar",90,433,0.5986,11,31,"NH",1989
"Northern Cardinal","norcar",91,490,0.6201,13,41,"NH",1990
"Northern Cardinal","norcar",92,487,0.5916,13,37,"NH",1991
"Northern Cardinal","norcar",93,515,0.5775,12,53,"NH",1992
"Northern Cardinal","norcar",94,549,0.6063,12,45,"NH",1993
"Northern Cardinal","norcar",95,589,0.6869,12,45,"NH",1994
"Northern Cardinal","norcar",96,444,0.4469,13,40,"NH",1995
"Northern Cardinal","norcar",97,494,0.4776,14,41,"NH",1996
"Northern Cardinal","norcar",98,674,0.6292,14,47,"NH",1997
"Northern Cardinal","norcar",99,641,0.6785,15,34,"NH",1998
"Northern Cardinal","norcar",100,729,0.6833,15,38,"NH",1999
"Northern Cardinal","norcar",101,836,0.8823,13,35,"NH",2000
"Northern Cardinal","norcar",102,707,0.6387,16,49,"NH",2001
"Northern Cardinal","norcar",103,742,0.7287,14,36,"NH",2002
"Northern Cardinal","norcar",104,735,0.6255,13,44,"NH",2003
"Northern Cardinal","norcar",105,1006,0.8288,15,36,"NH",2004
"Northern Cardinal","norcar",106,998,0.8433,16,63,"NH",2005
"Northern Cardinal","norcar",107,1336,1.0842,16,46,"NH",2006
"Northern Cardinal","norcar",108,1151,0.9785,15,43,"NH",2007
"Northern Cardinal","norcar",109,1301,1.2549,14,49,"NH",2008
"Northern Cardinal","norcar",110,1057,1.0615,12,40,"NH",2009
"Northern Cardinal","norcar",111,1023,0.9453,13,44,"NH",2010
"Northern Cardinal","norcar",112,955,0.8692,14,42,"NH",2011
"Northern Cardinal","norcar",113,1160,0.9314,18,38,"NH",2012
"Northern Cardinal","norcar",114,1460,1.3422,17,49,"NH",2013
"Northern Cardinal","norcar",115,1652,1.2976,17,50,"NH",2014
"Northern Cardinal","norcar",116,1453,1.1965,17,44,"NH",2015
"Northern Cardinal","norcar",2,2,0,2,1,"NY",1901
"Northern Cardinal","norcar",3,6,0,3,1,"NY",1902
"Northern Cardinal","norcar",4,7,0,3,1,"NY",1903
"Northern Cardinal","norcar",5,19,0,6,2,"NY",1904
"Northern Cardinal","norcar",6,10,0,3,2,"NY",1905
"Northern Cardinal","norcar",7,12,0,4,2,"NY",1906
"Northern Cardinal","norcar",8,6,0,2,1,"NY",1907
"Northern Cardinal","norcar",9,9,0,4,1,"NY",1908
"Northern Cardinal","norcar",10,12,0,4,3,"NY",1909
"Northern Cardinal","norcar",11,4,0,2,2,"NY",1910
"Northern Cardinal","norcar",12,1,0,1,3,"NY",1911
"Northern Cardinal","norcar",13,2,0,2,1,"NY",1912
"Northern Cardinal","norcar",14,7,0,4,2,"NY",1913
"Northern Cardinal","norcar",15,11,0,1,2,"NY",1914
"Northern Cardinal","norcar",16,2,0,2,3,"NY",1915
"Northern Cardinal","norcar",17,4,0,2,2,"NY",1916
"Northern Cardinal","norcar",18,8,0,2,1,"NY",1917
"Northern Cardinal","norcar",19,0,0,1,2,"NY",1918
"Northern Cardinal","norcar",20,2,0,1,1,"NY",1919
"Northern Cardinal","norcar",21,1,0,1,2,"NY",1920
"Northern Cardinal","norcar",22,6,0.0577,1,1,"NY",1921
"Northern Cardinal","norcar",23,1,0,1,2,"NY",1922
"Northern Cardinal","norcar",26,2,0,2,3,"NY",1925
"Northern Cardinal","norcar",27,2,0,1,3,"NY",1926
"Northern Cardinal","norcar",28,6,0,4,11,"NY",1927
"Northern Cardinal","norcar",29,3,0,2,10,"NY",1928
"Northern Cardinal","norcar",30,7,0.4294,3,10,"NY",1929
"Northern Cardinal","norcar",31,0,0,1,1,"NY",1930
"Northern Cardinal","norcar",32,7,0,4,8,"NY",1931
"Northern Cardinal","norcar",33,6,0,3,20,"NY",1932
"Northern Cardinal","norcar",34,1,0,1,15,"NY",1933
"Northern Cardinal","norcar",35,2,0,2,30,"NY",1934
"Northern Cardinal","norcar",36,5,0,2,30,"NY",1935
"Northern Cardinal","norcar",37,9,0,2,20,"NY",1936
"Northern Cardinal","norcar",38,6,0,2,8,"NY",1937
"Northern Cardinal","norcar",39,14,0.0737,4,41,"NY",1938
"Northern Cardinal","norcar",40,12,0.0387,4,40,"NY",1939
"Northern Cardinal","norcar",41,11,0.0318,3,39,"NY",1940
"Northern Cardinal","norcar",42,29,0.0646,8,39,"NY",1941
"Northern Cardinal","norcar",43,68,0.2576,8,23,"NY",1942
"Northern Cardinal","norcar",44,30,0.084,9,32,"NY",1943
"Northern Cardinal","norcar",45,62,0.2573,9,40,"NY",1944
"Northern Cardinal","norcar",46,57,0.1894,10,35,"NY",1945
"Northern Cardinal","norcar",47,83,0.1491,14,49,"NY",1946
"Northern Cardinal","norcar",48,99,0.1337,17,44,"NY",1947
"Northern Cardinal","norcar",49,143,0.2369,15,48,"NY",1948
"Northern Cardinal","norcar",50,168,0.2445,15,58,"NY",1949
"Northern Cardinal","norcar",51,225,0.1507,22,50,"NY",1950
"Northern Cardinal","norcar",52,334,0.274,22,54,"NY",1951
"Northern Cardinal","norcar",53,242,0.1775,17,82,"NY",1952
"Northern Cardinal","norcar",54,417,0.2437,26,111,"NY",1953
"Northern Cardinal","norcar",55,443,0.2297,28,59,"NY",1954
"Northern Cardinal","norcar",56,393,0.2837,24,50,"NY",1955
"Northern Cardinal","norcar",57,448,0.284,25,55,"NY",1956
"Northern Cardinal","norcar",58,665,0.3612,34,57,"NY",1957
"Northern Cardinal","norcar",59,822,0.4589,33,42,"NY",1958
"Northern Cardinal","norcar",60,1391,0.7601,36,66,"NY",1959
"Northern Cardinal","norcar",61,2171,1.0746,38,67,"NY",1960
"Northern Cardinal","norcar",62,2341,1.1589,40,74,"NY",1961
"Northern Cardinal","norcar",63,3032,1.4473,40,66,"NY",1962
"Northern Cardinal","norcar",64,3144,1.3116,41,64,"NY",1963
"Northern Cardinal","norcar",65,2253,0.911,43,61,"NY",1964
"Northern Cardinal","norcar",66,2276,0.8784,44,76,"NY",1965
"Northern Cardinal","norcar",67,3483,1.2934,47,72,"NY",1966
"Northern Cardinal","norcar",68,3071,1.0941,47,90,"NY",1967
"Northern Cardinal","norcar",69,3943,1.5301,51,70,"NY",1968
"Northern Cardinal","norcar",70,4156,1.4971,47,57,"NY",1969
"Northern Cardinal","norcar",71,5645,1.721,50,66,"NY",1970
"Northern Cardinal","norcar",72,4296,1.1933,50,71,"NY",1971
"Northern Cardinal","norcar",73,4601,1.244,53,87,"NY",1972
"Northern Cardinal","norcar",74,5488,1.4471,52,107,"NY",1973
"Northern Cardinal","norcar",75,4930,1.1517,52,117,"NY",1974
"Northern Cardinal","norcar",76,6375,1.5432,53,115,"NY",1975
"Northern Cardinal","norcar",77,6527,1.5368,56,96,"NY",1976
"Northern Cardinal","norcar",78,5672,1.2067,57,97,"NY",1977
"Northern Cardinal","norcar",79,4712,1.0287,55,103,"NY",1978
"Northern Cardinal","norcar",80,5213,1.0356,60,115,"NY",1979
"Northern Cardinal","norcar",81,7054,1.4322,59,136,"NY",1980
"Northern Cardinal","norcar",82,7238,1.4764,62,120,"NY",1981
"Northern Cardinal","norcar",83,5470,1.0325,63,108,"NY",1982
"Northern Cardinal","norcar",84,7578,1.3008,64,116,"NY",1983
"Northern Cardinal","norcar",85,5074,0.9405,62,84,"NY",1984
"Northern Cardinal","norcar",86,7559,1.4148,65,103,"NY",1985
"Northern Cardinal","norcar",87,5091,0.9213,66,91,"NY",1986
"Northern Cardinal","norcar",88,7120,1.1964,67,101,"NY",1987
"Northern Cardinal","norcar",89,8154,1.4919,67,85,"NY",1988
"Northern Cardinal","norcar",90,8033,1.6247,66,87,"NY",1989
"Northern Cardinal","norcar",91,7147,1.3498,65,89,"NY",1990
"Northern Cardinal","norcar",92,6216,1.1711,66,93,"NY",1991
"Northern Cardinal","norcar",93,6103,1.129,64,85,"NY",1992
"Northern Cardinal","norcar",94,8498,1.5937,64,81,"NY",1993
"Northern Cardinal","norcar",95,6312,1.1903,62,94,"NY",1994
"Northern Cardinal","norcar",96,9451,1.6923,66,86,"NY",1995
"Northern Cardinal","norcar",97,5162,1.0005,63,94,"NY",1996
"Northern Cardinal","norcar",98,6169,1.1413,67,87,"NY",1997
"Northern Cardinal","norcar",99,6607,1.2742,63,92,"NY",1998
"Northern Cardinal","norcar",100,6257,1.1019,65,87,"NY",1999
"Northern Cardinal","norcar",101,6647,1.3129,66,90,"NY",2000
"Northern Cardinal","norcar",102,7614,1.3563,69,77,"NY",2001
"Northern Cardinal","norcar",103,6982,1.3004,69,95,"NY",2002
"Northern Cardinal","norcar",104,7131,1.2962,68,113,"NY",2003
"Northern Cardinal","norcar",105,8345,1.5193,67,103,"NY",2004
"Northern Cardinal","norcar",106,9193,1.5587,69,102,"NY",2005
"Northern Cardinal","norcar",107,8068,1.3729,69,102,"NY",2006
"Northern Cardinal","norcar",108,8647,1.4872,68,145,"NY",2007
"Northern Cardinal","norcar",109,9460,1.6757,68,108,"NY",2008
"Northern Cardinal","norcar",110,8895,1.7286,66,77,"NY",2009
"Northern Cardinal","norcar",111,9885,1.7245,68,146,"NY",2010
"Northern Cardinal","norcar",112,6951,1.2515,68,126,"NY",2011
"Northern Cardinal","norcar",113,10663,1.9232,72,122,"NY",2012
"Northern Cardinal","norcar",114,7918,1.5225,70,145,"NY",2013
"Northern Cardinal","norcar",115,10217,1.7557,70,143,"NY",2014
"Northern Cardinal","norcar",116,7485,1.2769,68,155,"NY",2015
"Northern Cardinal","norcar",14,0,0,1,4,"ON",1913
"Northern Cardinal","norcar",15,0,0,1,3,"ON",1914
"Northern Cardinal","norcar",16,1,0,1,2,"ON",1915
"Northern Cardinal","norcar",17,7,0,1,6,"ON",1916
"Northern Cardinal","norcar",18,1,0,1,7,"ON",1917
"Northern Cardinal","norcar",19,1,0,1,5,"ON",1918
"Northern Cardinal","norcar",20,3,0,1,9,"ON",1919
"Northern Cardinal","norcar",21,13,0,2,5,"ON",1920
"Northern Cardinal","norcar",22,4,0.1143,1,11,"ON",1921
"Northern Cardinal","norcar",23,4,0,1,13,"ON",1922
"Northern Cardinal","norcar",24,9,0,1,14,"ON",1923
"Northern Cardinal","norcar",25,11,0,1,9,"ON",1924
"Northern Cardinal","norcar",26,1,0,1,5,"ON",1925
"Northern Cardinal","norcar",27,3,0,1,12,"ON",1926
"Northern Cardinal","norcar",28,28,0,3,9,"ON",1927
"Northern Cardinal","norcar",29,14,2.3333,2,9,"ON",1928
"Northern Cardinal","norcar",30,31,1.9375,1,18,"ON",1929
"Northern Cardinal","norcar",31,8,0,2,18,"ON",1930
"Northern Cardinal","norcar",32,27,0,2,24,"ON",1931
"Northern Cardinal","norcar",33,36,0,2,16,"ON",1932
"Northern Cardinal","norcar",34,31,0,2,18,"ON",1933
"Northern Cardinal","norcar",35,18,0,2,16,"ON",1934
"Northern Cardinal","norcar",36,35,0,2,25,"ON",1935
"Northern Cardinal","norcar",37,41,0,2,28,"ON",1936
"Northern Cardinal","norcar",38,9,0,1,29,"ON",1937
"Northern Cardinal","norcar",39,28,0.4706,2,35,"ON",1938
"Northern Cardinal","norcar",40,114,0.9171,4,32,"ON",1939
"Northern Cardinal","norcar",41,81,0.4682,4,28,"ON",1940
"Northern Cardinal","norcar",42,126,1.6913,6,31,"ON",1941
"Northern Cardinal","norcar",43,74,0.4554,4,33,"ON",1942
"Northern Cardinal","norcar",44,182,0.8729,6,36,"ON",1943
"Northern Cardinal","norcar",45,237,1.1516,7,34,"ON",1944
"Northern Cardinal","norcar",46,179,1.5004,8,31,"ON",1945
"Northern Cardinal","norcar",47,255,1.2439,9,45,"ON",1946
"Northern Cardinal","norcar",48,243,6.75,5,55,"ON",1947
"Northern Cardinal","norcar",49,338,5.0448,8,37,"ON",1948
"Northern Cardinal","norcar",50,300,5.2632,8,50,"ON",1949
"Northern Cardinal","norcar",51,392,0.9584,8,61,"ON",1950
"Northern Cardinal","norcar",52,487,1.3046,11,65,"ON",1951
"Northern Cardinal","norcar",53,717,1.0387,9,74,"ON",1952
"Northern Cardinal","norcar",54,420,0.6592,9,60,"ON",1953
"Northern Cardinal","norcar",55,614,0.9099,11,63,"ON",1954
"Northern Cardinal","norcar",56,597,1.1717,7,42,"ON",1955
"Northern Cardinal","norcar",57,722,0.9128,9,54,"ON",1956
"Northern Cardinal","norcar",58,655,0.8162,8,53,"ON",1957
"Northern Cardinal","norcar",59,876,1.1103,9,51,"ON",1958
"Northern Cardinal","norcar",60,972,1.35,9,52,"ON",1959
"Northern Cardinal","norcar",61,1358,1.3236,10,70,"ON",1960
"Northern Cardinal","norcar",62,1517,1.3527,14,97,"ON",1961
"Northern Cardinal","norcar",63,1496,1.3981,11,77,"ON",1962
"Northern Cardinal","norcar",64,1260,1.0751,14,51,"ON",1963
"Northern Cardinal","norcar",65,848,0.5777,13,50,"ON",1964
"Northern Cardinal","norcar",66,1377,0.9266,17,51,"ON",1965
"Northern Cardinal","norcar",67,1681,0.9917,22,43,"ON",1966
"Northern Cardinal","norcar",68,1651,0.8322,17,45,"ON",1967
"Northern Cardinal","norcar",69,1967,1.0197,23,62,"ON",1968
"Northern Cardinal","norcar",70,2233,1.015,21,70,"ON",1969
"Northern Cardinal","norcar",71,2211,0.9555,24,65,"ON",1970
"Northern Cardinal","norcar",72,2603,0.9263,25,57,"ON",1971
"Northern Cardinal","norcar",73,2000,0.7626,28,82,"ON",1972
"Northern Cardinal","norcar",74,3276,1.1615,28,77,"ON",1973
"Northern Cardinal","norcar",75,2332,0.7273,30,69,"ON",1974
"Northern Cardinal","norcar",76,2595,0.8023,32,80,"ON",1975
"Northern Cardinal","norcar",77,2691,0.7669,33,97,"ON",1976
"Northern Cardinal","norcar",78,1994,0.5548,32,100,"ON",1977
"Northern Cardinal","norcar",79,1543,0.4175,31,100,"ON",1978
"Northern Cardinal","norcar",80,2367,0.5247,32,119,"ON",1979
"Northern Cardinal","norcar",81,2818,0.7037,36,126,"ON",1980
"Northern Cardinal","norcar",82,3299,0.6877,43,160,"ON",1981
"Northern Cardinal","norcar",83,2713,0.5505,44,146,"ON",1982
"Northern Cardinal","norcar",84,4012,0.84,46,135,"ON",1983
"Northern Cardinal","norcar",85,2707,0.5419,44,210,"ON",1984
"Northern Cardinal","norcar",86,3855,0.7845,48,142,"ON",1985
"Northern Cardinal","norcar",87,3975,0.6721,50,103,"ON",1986
"Northern Cardinal","norcar",88,4674,0.7875,55,227,"ON",1987
"Northern Cardinal","norcar",89,6041,0.9669,57,89,"ON",1988
"Northern Cardinal","norcar",90,6529,1.0781,61,90,"ON",1989
"Northern Cardinal","norcar",91,5207,0.83,64,85,"ON",1990
"Northern Cardinal","norcar",92,5443,0.8628,61,80,"ON",1991
"Northern Cardinal","norcar",93,4651,0.7176,60,75,"ON",1992
"Northern Cardinal","norcar",94,6991,1.0948,69,76,"ON",1993
"Northern Cardinal","norcar",95,5591,0.8477,65,73,"ON",1994
"Northern Cardinal","norcar",96,7301,1.1213,67,65,"ON",1995
"Northern Cardinal","norcar",97,6951,1.0596,66,76,"ON",1996
"Northern Cardinal","norcar",98,5981,0.89,65,84,"ON",1997
"Northern Cardinal","norcar",99,7304,1.0987,68,94,"ON",1998
"Northern Cardinal","norcar",100,7054,0.9878,71,83,"ON",1999
"Northern Cardinal","norcar",101,8338,1.1819,85,91,"ON",2000
"Northern Cardinal","norcar",101,8338,1.1819,85,91,"ON",2000
"Northern Cardinal","norcar",102,8672,1.1165,82,99,"ON",2001
"Northern Cardinal","norcar",103,6700,0.8299,78,105,"ON",2002
"Northern Cardinal","norcar",104,7736,0.9747,76,108,"ON",2003
"Northern Cardinal","norcar",105,8361,1.0805,81,98,"ON",2004
"Northern Cardinal","norcar",106,9003,1.121,82,90,"ON",2005
"Northern Cardinal","norcar",107,8082,0.9283,85,108,"ON",2006
"Northern Cardinal","norcar",108,8889,1.1246,88,81,"ON",2007
"Northern Cardinal","norcar",109,9104,1.1258,87,118,"ON",2008
"Northern Cardinal","norcar",110,8542,1.0736,84,105,"ON",2009
"Northern Cardinal","norcar",111,10702,1.3011,88,115,"ON",2010
"Northern Cardinal","norcar",111,10702,1.3011,88,115,"ON",2010
"Northern Cardinal","norcar",112,7534,0.96,84,132,"ON",2011
"Northern Cardinal","norcar",113,9636,1.2455,96,152,"ON",2012
"Northern Cardinal","norcar",114,8164,1.0879,86,140,"ON",2013
"Northern Cardinal","norcar",115,8976,1.1041,94,142,"ON",2014
"Northern Cardinal","norcar",116,7754,0.947,97,150,"ON",2015
"Northern Cardinal","norcar",1,8,0,2,2,"PA",1900
"Northern Cardinal","norcar",2,5,0,3,2,"PA",1901
"Northern Cardinal","norcar",3,22,0,7,3,"PA",1902
"Northern Cardinal","norcar",4,11,0,5,1,"PA",1903
"Northern Cardinal","norcar",5,20,0,5,1,"PA",1904
"Northern Cardinal","norcar",6,26,0,7,3,"PA",1905
"Northern Cardinal","norcar",7,37,0,9,2,"PA",1906
"Northern Cardinal","norcar",8,72,0,13,2,"PA",1907
"Northern Cardinal","norcar",9,39,0,9,2,"PA",1908
"Northern Cardinal","norcar",10,18,0,5,1,"PA",1909
"Northern Cardinal","norcar",11,26,0,8,2,"PA",1910
"Northern Cardinal","norcar",12,45,0,9,2,"PA",1911
"Northern Cardinal","norcar",13,60,0,6,3,"PA",1912
"Northern Cardinal","norcar",14,92,0,13,2,"PA",1913
"Northern Cardinal","norcar",15,141,0,16,2,"PA",1914
"Northern Cardinal","norcar",16,63,0,12,3,"PA",1915
"Northern Cardinal","norcar",17,111,0,11,2,"PA",1916
"Northern Cardinal","norcar",18,88,0,11,3,"PA",1917
"Northern Cardinal","norcar",19,49,0,8,6,"PA",1918
"Northern Cardinal","norcar",20,113,0,15,3,"PA",1919
"Northern Cardinal","norcar",21,60,0,10,4,"PA",1920
"Northern Cardinal","norcar",22,55,0.5112,11,4,"PA",1921
"Northern Cardinal","norcar",23,155,0,15,9,"PA",1922
"Northern Cardinal","norcar",24,63,0,9,4,"PA",1923
"Northern Cardinal","norcar",25,137,0,12,12,"PA",1924
"Northern Cardinal","norcar",26,277,0,17,10,"PA",1925
"Northern Cardinal","norcar",27,208,0,16,15,"PA",1926
"Northern Cardinal","norcar",28,240,0,18,12,"PA",1927
"Northern Cardinal","norcar",29,93,0,13,14,"PA",1928
"Northern Cardinal","norcar",30,173,8.0465,14,8,"PA",1929
"Northern Cardinal","norcar",31,188,0,17,20,"PA",1930
"Northern Cardinal","norcar",32,188,0,18,25,"PA",1931
"Northern Cardinal","norcar",33,113,11.3,8,24,"PA",1932
"Northern Cardinal","norcar",34,140,0,9,14,"PA",1933
"Northern Cardinal","norcar",35,136,0,10,18,"PA",1934
"Northern Cardinal","norcar",36,204,0,10,17,"PA",1935
"Northern Cardinal","norcar",37,217,0,11,23,"PA",1936
"Northern Cardinal","norcar",38,453,0,12,24,"PA",1937
"Northern Cardinal","norcar",39,774,8.8155,13,165,"PA",1938
"Northern Cardinal","norcar",40,620,2.7543,14,28,"PA",1939
"Northern Cardinal","norcar",41,652,2.0944,15,27,"PA",1940
"Northern Cardinal","norcar",42,553,2.3522,14,25,"PA",1941
"Northern Cardinal","norcar",43,659,2.2241,16,24,"PA",1942
"Northern Cardinal","norcar",44,566,1.5877,15,19,"PA",1943
"Northern Cardinal","norcar",45,541,2.9386,17,21,"PA",1944
"Northern Cardinal","norcar",46,446,1.6543,17,30,"PA",1945
"Northern Cardinal","norcar",47,807,2.2442,20,35,"PA",1946
"Northern Cardinal","norcar",48,549,1.9434,19,84,"PA",1947
"Northern Cardinal","norcar",49,721,2.0207,19,36,"PA",1948
"Northern Cardinal","norcar",50,1057,1.9691,21,42,"PA",1949
"Northern Cardinal","norcar",51,1026,1.3822,23,40,"PA",1950
"Northern Cardinal","norcar",52,1165,1.4856,23,38,"PA",1951
"Northern Cardinal","norcar",53,1101,1.3079,25,57,"PA",1952
"Northern Cardinal","norcar",54,1724,1.544,29,58,"PA",1953
"Northern Cardinal","norcar",55,1557,1.5473,26,53,"PA",1954
"Northern Cardinal","norcar",56,1526,1.74,26,38,"PA",1955
"Northern Cardinal","norcar",57,1147,1.581,28,20,"PA",1956
"Northern Cardinal","norcar",58,2011,2.1508,28,55,"PA",1957
"Northern Cardinal","norcar",59,1766,1.7099,31,56,"PA",1958
"Northern Cardinal","norcar",60,2289,2.3017,30,59,"PA",1959
"Northern Cardinal","norcar",61,2536,2.4531,30,53,"PA",1960
"Northern Cardinal","norcar",62,3856,2.6575,32,67,"PA",1961
"Northern Cardinal","norcar",63,3208,2.7256,31,67,"PA",1962
"Northern Cardinal","norcar",64,4029,2.796,33,51,"PA",1963
"Northern Cardinal","norcar",65,2900,2.2003,34,48,"PA",1964
"Northern Cardinal","norcar",66,3582,2.2976,39,94,"PA",1965
"Northern Cardinal","norcar",67,4489,2.6625,39,104,"PA",1966
"Northern Cardinal","norcar",68,4614,2.3759,42,110,"PA",1967
"Northern Cardinal","norcar",69,4684,2.5075,39,100,"PA",1968
"Northern Cardinal","norcar",70,5947,2.9081,39,111,"PA",1969
"Northern Cardinal","norcar",71,7668,3.0599,39,131,"PA",1970
"Northern Cardinal","norcar",72,5368,2.2283,39,143,"PA",1971
"Northern Cardinal","norcar",73,5977,2.1554,41,128,"PA",1972
"Northern Cardinal","norcar",74,9159,3.0469,42,83,"PA",1973
"Northern Cardinal","norcar",75,8678,2.5694,43,137,"PA",1974
"Northern Cardinal","norcar",76,8550,2.5424,43,173,"PA",1975
"Northern Cardinal","norcar",77,8812,2.4142,43,136,"PA",1976
"Northern Cardinal","norcar",78,8446,2.313,43,147,"PA",1977
"Northern Cardinal","norcar",79,7954,2.2706,43,160,"PA",1978
"Northern Cardinal","norcar",80,9492,2.5833,43,176,"PA",1979
"Northern Cardinal","norcar",81,10542,2.8787,47,154,"PA",1980
"Northern Cardinal","norcar",82,10681,2.7484,49,151,"PA",1981
"Northern Cardinal","norcar",83,10705,2.787,48,158,"PA",1982
"Northern Cardinal","norcar",84,10814,2.6306,52,146,"PA",1983
"Northern Cardinal","norcar",85,9952,2.116,54,109,"PA",1984
"Northern Cardinal","norcar",86,11578,2.5839,55,144,"PA",1985
"Northern Cardinal","norcar",87,11549,2.3611,55,118,"PA",1986
"Northern Cardinal","norcar",88,15240,3.2004,57,91,"PA",1987
