Date,Time,Site,Tracker_ID,NOCA_ID,Band,Colour_L,Colour_R,Sex,GPS_ID,Lat,Lon,Signal,Gain,Angle,Direction,Receiver,Temperature,Wind,Cloud,Precipitations,Snow_depth,Snow_hardness,Snow_water
03-13-2025,10:30,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,03-13-25 NOCA645,45.42995,-73.93848,231,20,94,straight,NEW,-4,12,20,0,24,4,2
03-18-2025,9:20,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,03-18-25 NOCA625b,45.42559,-73.93602,235,20,270,UP,NEW,-3,4,0,0,7,4,4
03-18-2025,10:30,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,03-18-25 NOCA645,45.43059,-73.93869,217,30,263,UP,NEW,1,7,0,0,7,4,4
03-25-2025,9:00,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,03-25-25 NOCA625b,45.43087,-73.93834,201,30,125,straight,NEW,2,15,95,0,5,2,2
03-25-2025,9:30,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,03-25-25 NOCA645,45.43040,-73.93798,223,30,135,UP,NEW,2,17,100,0,5,2,2
04-05-2025,8:30,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,04-05-25 NOCA645,45.43089,-73.93910,197,30,209,UP,NEW,2,13,100,0,0,0,0
04-05-2025,8:45,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,04-05-25 NOCA625b,45.43151,-73.93867,226,20,269,UP,NEW,2,13,100,0,0,0,0
04-08-2025,8:30,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,04-08-25 NOCA645,45.43163,-73.93872,244,20,43,UP,NEW,-1,26,100,0,6,1,3
04-08-2025,8:45,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,04-08-25 NOCA625b,45.43161,-73.93872,225,20,43,UP,NEW,-1,26,100,0,6,1,3
04-13-2025,9:45,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,04-13-25 NOCA625b,45.42985,-73.93959,201,40,223,UP,NEW,6,11,98,0,0,0,0
04-13-2025,10:30,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,04-13-25 NOCA645,45.43036,-73.93975,234,30,232,UP,NEW,7,19,85,0,0,0,0
04-17-2025,8:50,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,04-17-25 NOCA625b,45.43154,-73.93870,232,20,60,straight,NEW,1,19,0,0,0,0,0
04-17-2025,9:35,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,04-17-25 NOCA645,45.43005,-73.93933,215,30,221,straight,NEW,1,26,0,0,0,0,0
04-19-2025,13:35,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,04-19-25 NOCA645,45.43166,-73.93874,225,20,16,straight,NEW,19,17,100,0,0,0,0
04-19-2025,13:55,2,LF,641,2991-46022,Yellow/Black,Metal/Green,M,04-19-25 NOCA641,45.43018,-73.93999,143,50,328,UP,NEW,19,17,100,0,0,0,0
04-22-2025,13:00,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,04-22-25 NOCA645,45.43082,-73.93860,214,30,163,straight,NEW,10,20,100,0,0,0,0
04-22-2025,13:20,2,LF,641,2991-46022,Yellow/Black,Metal/Green,M,04-22-25 NOCA641,45.43026,-73.93996,151,50,257,UP,NEW,11,22,100,0,0,0,0
05-08-2025,13:10,4,FPL,627,2991-10810,Blue/White,Metal/Green,M,05-08-25 NOCA627,45.43110,-73.93875,149,30,45,straight,OLD,10,10,100,0,0,0,0
05-08-2025,13:56,4,FPL,641,2991-46022,Yellow/Black,Metal/Green,M,05-08-25 NOCA641,45.43053,-73.94024,141,40,215,straight,OLD,11,10,100,0,0,0,0
05-14-2025,11:16,4,FPL,627,2991-10810,Blue/White,Metal/Green,M,05-14-25 NOCA627,45.43144,-73.93903,156,20,56,DOWN,OLD,23,6,0,0,0,0,0
05-14-2025,11:44,4,FPL,641,2991-46022,Yellow/Black,Metal/Green,M,05-14-25 NOCA641,45.43036,-73.94043,203,10,58,DOWN,OLD,23,7,0,0,0,0,0
05-21-2025,13:33,4,FPL,627,2991-10810,Blue/White,Metal/Green,M,05-21-25 NOCA627,45.42981,-73.93754,153,30,50,straight,OLD,14,15,100,0,0,0,0
05-27-2025,10:00,4,FPL,627,2991-10810,Blue/White,Metal/Green,M,05-27-25 NOCA627,45.43119,-73.93852,185,10,90,DOWN,OLD,20,5,0,0,0,0,0
10-15-2024,10:43,6,AMC,610,2651-73176,Blue/Blue,Metal/Yellow,F,10-15-24 NOCA 610,45.45922,-73.64066,NA,NA,NA,NA,NEW,8,19,100,0,0,0,0
10-16-2024,12:29,6,AMC,610,2651-73176,Blue/Blue,Metal/Yellow,F,10-16-24 NOCA 610,45.45885,-73.64362,207,40,263,STRAIGHT,NEW,9,15,80,0,0,0,0
10-17-2024,9:57,5,AMC,612,2991-40574,Blue/Yellow,Metal/Yellow,F,10-17-24 NOCA 612,45.46014,-73.64222,NA,NA,NA,NA,NEW,6,10,10,0,0,0,0
10-18-2024,13:27,5,AMC,613,2651-73183,Blue/Red,Metal/Green,M,10-18-24 NOCA 613,45.45914,-73.64112,NA,NA,NA,NA,NEW,14,10,0,0,0,0,0
10-19-2024,10:35,6,AMC,610,2651-73176,Blue/Blue,Metal/Yellow,F,10-19-24 NOCA 610,45.45844,-73.64375,232,30,234,UP,NEW,11,14,0,0,0,0,0
10-24-2024,12:50,5,AMC,615,2651-73139,Red/Red,Metal/Yellow,F,10-24-24 NOCA 615-616,45.46016,-73.64217,NA,NA,NA,NA,NEW,10,7,30,0,0,0,0
10-24-2024,12:50,5,AMC,616,2651-73140,Blue/White,Metal/Yellow,F,10-24-24 NOCA 615-616,45.46016,-73.64217,NA,NA,NA,NA,NEW,10,7,30,0,0,0,0
10-25-2024,14:06,6,FPL,610,2651-73176,Blue/Blue,Metal/Yellow,F,10-25-24 NOCA 610,45.45975,-73.64852,144,30,223,STRAIGHT,OLD,11,4,10,0,0,0,0
10-26-2024,9:34,6,FPL,610,2651-73176,Blue/Blue,Metal/Yellow,F,10-26-24 NOCA 610,45.45894,-73.64966,190,30,232,STRAIGHT,OLD,6,22,40,0,0,0,0
10-26-2024,10:50,5,FPL,613,2651-73183,Blue/Red,Metal/Green,M,10-26-24 NOCA 613,45.45705,-73.63931,148,30,55,STRAIGHT,OLD,7,23,50,0,0,0,0
10-27-2024,10:47,6,AMC,619,2651-73193,Red/Green,Metal/Yellow,F,10-27-24 NOCA 619,45.45904,-73.64039,NA,NA,NA,NA,NEW,5,24,100,0,0,0,0
10-28-2024,8:09,5,FPL,613,2651-73183,Blue/Red,Metal/Green,M,10-28-24 NOCA 613,45.45712,-73.63923,178,30,222,GROUND,OLD,-3,4,0,0,0,0,0
10-28-2024,9:20,6,FPL,610,2651-73176,Blue/Blue,Metal/Yellow,F,10-28-24 NOCA 610,45.45954,-73.65041,145,30,180,STRAIGHT,OLD,-1,3,0,0,0,0,0
10-28-2024,9:55,5,FPL,615,2651-73139,Red/Red,Metal/Yellow,F,10-28-24 NOCA 615,45.45982,-73.65393,145,40,150,STRAIGHT,OLD,0,3,0,0,0,0,0
10-29-2024,10:32,5,AMC,621,2651-73198,Blue/Green,Metal/Green,M,10-29-24 NOCA 621,45.46021,-73.64213,NA,NA,NA,NA,NEW,6,11,100,0,0,0,0
10-30-2024,13:46,5,AMC,622,2651-73100,Red/White,Metal/Yellow,F,10-30-24 NOCA 622,45.45998,-73.64191,NA,NA,NA,NA,NEW,20,14,80,0,0,0,0
10-31-2024,10:06,6,AMC,624,2991-46002,Blue/Black,Metal/Green,M,10-31-24 NOCA 624,45.45918,-73.64111,NA,NA,NA,NA,NEW,18,21,10,0,0,0,0
11-01-2024,11:50,5,FPL,621,2651-73198,Blue/Green,Metal/Green,M,11-01-24 NOCA 621,45.45991,-73.65392,173,20,220,GROUND,OLD,14,30,30,1,0,0,0
11-01-2024,13:32,5,AMC,616,2651-73140,Blue/White,Metal/Yellow,F,11-01-24 NOCA 616,45.46088,-73.64035,250,20,245,STRAIGHT,NEW,14,34,50,0,0,0,0
11-02-2024,13:09,6,AMC,625,2991-46003,Yellow/Green,Metal/Yellow,F,11-02-24 NOCA 625,45.45937,-73.64039,NA,NA,NA,NA,NEW,6,9,100,0,0,0,0
11-03-2024,10:05,6,AMC,613b,2991-46004,Yellow/Black,Metal/Yellow,F,11-03-24 NOCA 613B,45.45927,-73.64069,NA,NA,NA,NA,NEW,2,5,0,0,0,0,0
11-03-2024,10:16,5,AMC,626,2991-46005,Yellow/White,Metal/Yellow,F,11-03-24 NOCA 626,45.46013,-73.64221,NA,NA,NA,NA,NEW,3,5,0,0,0,0,0
11-04-2024,10:40,6,AMC,618b,2991-46007,Green/Green,Metal/Yellow,F,11-04-24 NOCA 618B,45.45941,-73.64059,NA,NA,NA,NA,NEW,5,10,100,0,0,0,0
11-04-2024,13:25,5,FPL,621,2651-73198,Blue/Green,Metal/Green,M,11-04-24 NOCA 621,45.46128,-73.64908,177,10,220,GROUND,OLD,8,14,100,1,0,0,0
11-04-2024,14:00,6,FPL,610,2651-73176,Blue/Blue,Metal/Yellow,F,10-25-24 NOCA 610,45.46067,-73.65065,170,40,5,STRAIGHT,OLD,8,15,100,0,0,0,0
11-04-2024,14:30,5,FPL,626,2991-46005,Yellow/White,Metal/Yellow,F,11-03-24 NOCA 626,45.45954,-73.65065,152,30,225,STRAIGHT,OLD,8,16,100,0,0,0,0
11-04-2024,15:58,6,FPL,618b,2991-46007,Green/Green,Metal/Yellow,F,11-04-24 NOCA 618B,45.45964,-73.64296,145,30,194,STRAIGHT,OLD,8,14,100,1,0,0,0
11-05-2024,9:19,5,AMC,628,2991-40579,Red/Red,Metal/Green,M,11-05-24 NOCA628,45.46014,-73.64214,NA,NA,NA,NA,NEW,12,11,100,1,0,0,0
11-08-2024,8:20,6,FPL,619,2651-73193,Red/Green,Metal/Yellow,F,10-27-24 NOCA 619,45.45046,-73.63988,148,30,300,STRAIGHT,OLD,9,27,90,0,0,0,0
11-08-2024,11:10,5,FPL,628,2991-40579,Red/Red,Metal/Green,M,11-05-24 NOCA628,45.45055,-73.64001,152,30,20,STRAIGHT,OLD,11,30,100,0,0,0,0
11-08-2024,11:54,6,FPL,625,2991-46003,Yellow/Green,Metal/Yellow,F,11-02-24 NOCA 625,45.45906,-73.64099,196,10,100,GROUND,OLD,11,29,90,0,0,0,0
11-12-2024,9:10,6,AMC,633,2991-46010,Green/White,Metal/Green,M,11-12-24 NOCA 633,45.45941,-73.64059,NA,NA,NA,NA,NEW,3,21,10,0,0,0,0
11-13-2024,9:54,5,AMC,634,2991-46013,Black/White,Metal/Yellow,F,11-13-24 NOCA634,45.46013,-73.64192,NA,NA,NA,NA,NEW,1,13,0,0,0,0,0
11-13-2024,14:03,5,AMC,638,????-?????,Brown/Red,Metal/Yellow,F,11-13-24 NOCA638,45.46012,-73.64206,NA,NA,NA,NA,NEW,5,9,0,0,0,0,0
11-15-2024,11:00,5,AMC,639,2991-46008,Brown/Blue,Metal/Yellow,F,11-15-24 NOCA639-642,45.46019,-73.64210,NA,NA,NA,NA,NEW,5,9,10,0,0,0,0
11-15-2024,11:00,5,AMC,642,2991-46018,Brown/Yellow,Metal/Yellow,F,11-15-24 NOCA639-642,45.46019,-73.64210,NA,NA,NA,NA,NEW,5,9,10,0,0,0,0
11-15-2024,11:08,6,AMC,643,2991-46019,Yellow/Yellow,Metal/Green,M,11-15-24 NOCA643-644,45.45938,-73.64060,NA,NA,NA,NA,NEW,5,9,10,0,0,0,0
11-15-2024,11:08,6,AMC,644,2991-46020,Brown/Green,Metal/Yellow,F,11-15-24 NOCA643-644,45.45938,-73.64060,NA,NA,NA,NA,NEW,5,9,10,0,0,0,0
11-15-2024,8:34,6,FPL,618b,2991-46007,Green/Green,Metal/Yellow,F,11-15-24 NOCA 618B,45.45108,-73.63690,177,30,15,UP,OLD,0,4,40,0,0,0,0
11-15-2024,9:04,6,FPL,619,2651-73193,Red/Green,Metal/Yellow,F,11-15-24 NOCA 619,45.44993,-73.64029,145,40,334,UP,OLD,1,5,30,0,0,0,0
11-15-2024,11:10,5,FPL,616,2651-73140,Blue/White,Metal/Yellow,F,11-15-24 NOCA 616,45.44981,-73.64026,153,30,320,STRAIGHT,OLD,5,10,30,0,0,0,0
11-15-2024,11:15,5,FPL,626,2991-46005,Yellow/White,Metal/Yellow,F,11-15-24 NOCA 626,45.45863,-73.63597,173,20,240,STRAIGHT,OLD,5,10,30,0,0,0,0
11-15-2024,11:50,6,FPL,633,2991-46010,Green/White,Metal/Green,M,11-15-24 NOCA 633,45.46028,-73.63972,140,40,47,STRAIGHT,OLD,6,10,20,0,0,0,0
11-17-2024,11:00,5,FPL,642,2991-46018,Brown/Yellow,Metal/Yellow,F,11-17-24 NOCA 642,45.46224,-73.63931,135,40,208,STRAIGHT,OLD,6,11,20,0,0,0,0
11-17-2024,13:10,5,FPL,634,2991-46013,Black/White,Metal/Yellow,F,11-17-24 NOCA 634,45.46042,-73.64082,141,30,90,STRAIGHT,OLD,8,11,90,0,0,0,0
11-17-2024,14:00,6,FPL,610,2651-73176,Blue/Blue,Metal/Yellow,F,11-17-24 NOCA 610,45.46145,-73.65112,148,30,200,STRAIGHT,OLD,9,10,100,0,0,0,0
11-18-2024,12:00,5,FPL,634,2991-46013,Black/White,Metal/Yellow,F,11-18-24 NOCA 634,45.46093,-73.64028,150,30,212,STRAIGHT,OLD,9,17,100,0,0,0,0
11-18-2024,12:45,6,FPL,644,2991-46020,Brown/Green,Metal/Yellow,F,11-18-24 NOCA 644,45.45804,-73.63354,114,50,129,STRAIGHT,OLD,9,18,70,0,0,0,0
11-18-2024,13:10,5,FPL,616,2651-73140,Blue/White,Metal/Yellow,F,11-18-24 NOCA 616,45.45856,-73.63544,180,20,80,UP,OLD,9,18,40,0,0,0,0
11-18-2024,13:20,5,FPL,626,2991-46005,Yellow/White,Metal/Yellow,F,11-18-24 NOCA 626,45.45892,-73.63644,161,20,180,UP,OLD,9,18,40,0,0,0,0
11-18-2024,13:25,6,FPL,633,2991-46010,Green/White,Metal/Green,M,11-18-24 NOCA 633,45.45898,-73.63644,158,30,280,STRAIGHT,OLD,9,18,20,0,0,0,0
11-18-2024,14:30,5,FPL,621,2651-73198,Blue/Green,Metal/Green,M,11-18-24 NOCA 621,45.46477,-73.65583,104,50,300,STRAIGHT,OLD,10,18,30,0,0,0,0
11-18-2024,15:13,6,FPL,618b,2991-46007,Green/Green,Metal/Yellow,F,11-18-24 NOCA 618B,45.46176,-73.64972,149,30,28,STRAIGHT,OLD,10,18,20,0,0,0,0
11-24-2024,8:50,6,FPL,643,2991-46019,Yellow/Yellow,Metal/Green,M,11-24-24 NOCA 643,45.46637,-73.64522,118,40,240,STRAIGHT,OLD,2,25,50,0,0,0,0
11-24-2024,9:50,6,FPL,610,2651-73176,Blue/Blue,Metal/Yellow,F,11-24-24 NOCA 610,45.46122,-73.65044,140,40,230,STRAIGHT,OLD,3,26,100,0,0,0,0
11-29-2024,8:00,6,FPL,644,2991-46020,Brown/Green,Metal/Yellow,F,11-29-24 NOCA 644,45.45719,-73.63316,153,40,340,UP,OLD,0,9,90,0,0,0,0
11-29-2024,9:15,5,FPL,616,2651-73140,Blue/White,Metal/Yellow,F,11-29-24 NOCA 616,45.45880,-73.63398,148,30,42,UP,OLD,1,11,100,0,0,0,0
11-29-2024,10:00,5,FPL,626,2991-46005,Yellow/White,Metal/Yellow,F,11-29-24 NOCA 626,45.45729,-73.63313,144,40,290,UP,OLD,1,13,100,0,0,0,0
11-29-2024,10:15,5,FPL,642,2991-46018,Brown/Yellow,Metal/Yellow,F,11-29-24 NOCA 642,45.45729,-73.63313,142,40,290,UP,OLD,1,13,100,0,0,0,0
11-29-2024,10:30,6,FPL,619,2651-73193,Red/Green,Metal/Yellow,F,11-29-24 NOCA 619,45.44995,-73.64020,142,40,350,STRAIGHT,OLD,2,14,100,0,0,0,0
11-29-2024,11:30,5,FPL,634,2991-46013,Black/White,Metal/Yellow,F,11-29-24 NOCA 634,45.46087,-73.64047,140,40,190,UP,OLD,2,15,100,0,0,0,0
11-29-2024,12:32,6,FPL,633,2991-46010,Green/White,Metal/Green,M,11-29-24 NOCA 633,45.46194,-73.63917,159,30,9,UP,OLD,3,15,100,0,0,0,0
12-01-2024,9:20,6,FPL,610,2651-73176,Blue/Blue,Metal/Yellow,F,12-01-24 NOCA 610,45.46083,-73.65139,181,40,40,STRAIGHT,OLD,-2,17,100,0,0,0,0
12-06-2024,8:30,5,FPL,616,2651-73140,Blue/White,Metal/Yellow,F,12-06-24 NOCA 616,45.46091,-73.65138,169,40,323,STRAIGHT,OLD,-8,24,0,0,5,1,0
12-06-2024,9:01,6,FPL,619,2651-73193,Red/Green,Metal/Yellow,F,12-06-24 NOCA 619,45.45832,-73.63518,171,40,167,STRAIGHT,OLD,-8,24,0,0,5,1,0
12-06-2024,9:51,5,FPL,642,2991-46018,Brown/Yellow,Metal/Yellow,F,12-06-24 NOCA 642,45.45763,-73.63354,140,40,52,UP,OLD,-8,24,30,0,5,1,0
12-06-2024,10:30,5,FPL,626,2991-46005,Yellow/White,Metal/Yellow,F,12-06-24 NOCA 626,45.45807,-73.63351,148,40,167,UP,OLD,-7,23,30,0,5,1,0
12-06-2024,11:30,6,FPL,633,2991-46010,Green/White,Metal/Green,M,12-06-24 NOCA 633,45.46212,-73.64111,144,40,26,STRAIGHT,OLD,-6,22,80,0,5,1,0
12-06-2024,11:50,5,FPL,634,2991-46013,Black/White,Metal/Yellow,F,12-06-24 NOCA 634,45.46230,-73.64194,143,40,86,STRAIGHT,OLD,-6,22,80,0,5,1,0
12-08-2024,9:15,6,FPL,610,2651-73176,Blue/Blue,Metal/Yellow,F,12-08-24 NOCA 610,45.46108,-73.64972,171,40,67,STRAIGHT,OLD,1,16,100,0,12,1,0
12-08-2024,9:50,5,FPL,634,2991-46013,Black/White,Metal/Yellow,F,12-08-24 NOCA 634,45.46039,-73.64088,145,30,62,STRAIGHT,OLD,1,16,100,0,12,1,0
12-08-2024,11:43,6,FPL,633,2991-46010,Green/White,Metal/Green,M,12-08-24 NOCA 633,45.46260,-73.64027,147,40,90,STRAIGHT,OLD,2,17,90,0,12,1,0
12-13-2024,10:30,6,FPL,610,2651-73176,Blue/Blue,Metal/Yellow,F,12-13-24 NOCA 610,45.46085,-73.64933,154,40,20,UP,OLD,-7,19,40,0,0,0,0
12-13-2024,10:50,5,FPL,634,2991-46013,Black/White,Metal/Yellow,F,12-13-24 NOCA 634,45.46233,-73.64196,147,40,215,STRAIGHT,OLD,-7,19,40,0,0,0,0
12-13-2024,11:00,6,FPL,633,2991-46010,Green/White,Metal/Green,M,12-13-24 NOCA 633,45.46235,-73.64191,140,30,215,STRAIGHT,OLD,-7,19,40,0,0,0,0
12-13-2024,12:05,5,FPL,626,2991-46005,Yellow/White,Metal/Yellow,F,12-13-24 NOCA 626,45.45893,-73.63639,168,40,200,UP,OLD,-5,22,30,0,0,0,0
12-13-2024,12:55,5,FPL,616,2651-73140,Blue/White,Metal/Yellow,F,12-13-24 NOCA 616,45.45766,-73.63363,141,40,2,UP,OLD,-5,22,30,0,0,0,0
12-13-2024,15:00,6,FPL,619,2651-73193,Red/Green,Metal/Yellow,F,12-13-24 NOCA 619,45.44893,-73.63980,102,60,190,GROUND,OLD,-4,20,50,0,0,0,0
12-18-2024,8:40,6,FPL,610,2651-73176,Blue/Blue,Metal/Yellow,F,12-18-24 NOCA 610,45.46175,-73.65148,171,40,73,UP,OLD,1,11,100,0,0,0,0
12-18-2024,9:10,6,FPL,633,2991-46010,Green/White,Metal/Green,M,12-18-24 NOCA 633,45.46208,-73.64119,141,40,46,STRAIGHT,OLD,2,11,100,0,0,0,0
12-18-2024,9:15,5,FPL,634,2991-46013,Black/White,Metal/Yellow,F,12-18-24 NOCA 634,45.46212,-73.64165,140,40,216,STRAIGHT,OLD,2,11,100,0,0,0,0
12-18-2024,10:37,6,FPL,619,2651-73193,Red/Green,Metal/Yellow,F,12-18-24 NOCA 619,45.45062,-73.64027,142,40,65,STRAIGHT,OLD,3,13,100,0,0,0,0
12-18-2024,11:10,5,FPL,626,2991-46005,Yellow/White,Metal/Yellow,F,12-18-24 NOCA 626,45.45069,-73.64034,154,40,205,STRAIGHT,OLD,3,13,100,0,0,0,0
12-18-2024,11:15,5,FPL,616,2651-73140,Blue/White,Metal/Yellow,F,12-18-24 NOCA 616,45.45686,-73.63503,149,40,205,STRAIGHT,OLD,3,13,100,0,0,0,0
12-20-2024,10:32,6,FPL,610,2651-73176,Blue/Blue,Metal/Yellow,F,12-20-24 NOCA 610,45.46132,-73.65040,140,40,61,STRAIGHT,OLD,-8,13,100,0,"0,7",1,0
