Lon,Lat,Station_ID,Date,Year,Month,Day,Max_temp,Min_temp,Mean_temp,Total_precip,Snow_on_grnd,Speed_max_gust_wind,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-18,2022,1,18,-6.7,-21.7,-14.2,0,22,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-19,2022,1,19,-6.2,-20.5,-13.4,4,19,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-20,2022,1,20,-6.8,-24.3,-15.6,0.2,23,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-21,2022,1,21,-17.6,-29.5,-23.5,0.2,23,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-22,2022,1,22,-16,-32.4,-24.2,0,22,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-23,2022,1,23,-8.6,-24,-16.3,0,22,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-24,2022,1,24,-12.5,-27.6,-20,0.2,21,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-25,2022,1,25,-10.1,-18,-14.1,0.4,22,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-26,2022,1,26,-16.8,-28.1,-22.5,0.2,23,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-27,2022,1,27,-4.6,-26.9,-15.8,1.6,23,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-28,2022,1,28,-4.1,-24,-14,0.9,28,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-29,2022,1,29,-12.6,-25.1,-18.9,0,27,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-30,2022,1,30,-10.9,-20.7,-15.8,0,25,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-31,2022,1,31,-6.7,-17.8,-12.3,0,24,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-01,2022,2,1,-1.1,-18.1,-9.6,0,24,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-02,2022,2,2,5.1,-1.6,1.7,2.8,24,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-03,2022,2,3,1.4,-11.4,-5,8.6,21,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-04,2022,2,4,-11.1,-13.3,-12.2,2.7,33,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-05,2022,2,5,-11.9,-19.2,-15.6,0.2,30,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-06,2022,2,6,-7.6,-22.8,-15.2,0.2,30,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-07,2022,2,7,-0.6,-13.5,-7.1,0,29,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-08,2022,2,8,-1.6,-9.4,-5.5,0,29,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-09,2022,2,9,1,-10.3,-4.7,0,29,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-10,2022,2,10,3.6,-2.6,0.5,0,29,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-11,2022,2,11,6.9,0.1,3.5,2.2,26,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-12,2022,2,12,4.3,-15.8,-5.7,1.9,24,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-13,2022,2,13,-14.4,-20.9,-17.6,0.2,22,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-14,2022,2,14,-12.5,-18.7,-15.6,0,22,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-15,2022,2,15,-8.6,-17.2,-12.9,0.2,22,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-16,2022,2,16,8.4,-14.6,-3.1,0,22,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-17,2022,2,17,9,-4.2,2.4,28.3,19,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-18,2022,2,18,-4.2,-19.4,-11.8,9.8,28,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-19,2022,2,19,-1,-16.3,-8.6,4.4,31,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-20,2022,2,20,5.2,-19.6,-7.2,0.2,29,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-21,2022,2,21,5.1,-8.9,-1.9,0,27,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-22,2022,2,22,-1.6,-9.7,-5.6,4.3,26,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-23,2022,2,23,2.4,-13.4,-5.5,8,26,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-24,2022,2,24,-9.5,-17.3,-13.4,0,25,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-25,2022,2,25,-12,-16.7,-14.3,3.4,25,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-26,2022,2,26,-3.9,-18.8,-11.4,0,39,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-27,2022,2,27,-0.6,-14.2,-7.4,1,25,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-02-28,2022,2,28,-11.9,-19.1,-15.5,0,27,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-01,2022,3,1,-9,-18.6,-13.8,4.8,27,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-02,2022,3,2,-3.9,-13.5,-8.7,1.2,30,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-03,2022,3,3,-6.8,-19.4,-13.1,0.2,32,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-04,2022,3,4,-4.4,-18.5,-11.5,0,31,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-05,2022,3,5,-0.6,-13.6,-7.1,0,30,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-06,2022,3,6,13.3,-2.6,5.4,6.8,30,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-07,2022,3,7,4.4,-1.9,1.3,5.8,21,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-08,2022,3,8,-1.8,-7.8,-4.8,0.6,22,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-09,2022,3,9,3.2,-4.3,-0.6,0,21,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-10,2022,3,10,1.7,-2.6,-0.5,0,20,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-11,2022,3,11,1.2,-3.2,-1,4.8,20,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-12,2022,3,12,-0.6,-7.8,-4.2,2.4,30,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-13,2022,3,13,-3.9,-11.1,-7.5,0,28,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-14,2022,3,14,4.7,-5,-0.1,0.7,24,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-15,2022,3,15,2.3,-5.8,-1.8,0,21,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-16,2022,3,16,6.3,-6.6,-0.2,0,21,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-17,2022,3,17,16.1,-0.7,7.7,0,18,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-18,2022,3,18,9,0.1,4.5,0,13,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-19,2022,3,19,5.2,0.9,3,24.1,6,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-20,2022,3,20,5,0.8,2.9,2.7,2,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-21,2022,3,21,5.5,-0.8,2.3,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-22,2022,3,22,4.3,-3.5,0.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-23,2022,3,23,4.4,-5.7,-0.6,4,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-24,2022,3,24,8.1,1.3,4.7,20.7,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-25,2022,3,25,9.3,1.5,5.4,10.4,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-26,2022,3,26,6.8,1.7,4.3,0.2,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-27,2022,3,27,2.5,-9.8,-3.7,0.2,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-28,2022,3,28,-7.1,-11.9,-9.5,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-29,2022,3,29,-0.9,-7.5,-4.2,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-30,2022,3,30,3.6,-7.4,-1.9,0.5,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-03-31,2022,3,31,9.8,0.3,5,0.7,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-01,2022,4,1,7.1,0.1,3.6,0.3,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-02,2022,4,2,6.7,-2.5,2.1,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-03,2022,4,3,5.9,-0.7,2.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-04,2022,4,4,10.7,0,5.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-05,2022,4,5,12.5,-2.4,5.1,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-06,2022,4,6,14.3,0.5,7.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-07,2022,4,7,6.6,1.4,4,47.9,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-08,2022,4,8,6.6,0.8,3.7,8.2,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-09,2022,4,9,7.9,1.6,4.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-10,2022,4,10,8,1,4.5,0.4,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-11,2022,4,11,11.9,-0.9,5.5,0.2,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-12,2022,4,12,16.7,6.6,11.6,1.3,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-13,2022,4,13,11.8,6.6,9.2,2.2,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-14,2022,4,14,12,6.2,9.1,5.4,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-15,2022,4,15,14.5,2,8.3,6.9,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-16,2022,4,16,8.1,0.5,4.3,5.2,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-17,2022,4,17,7.3,-0.2,3.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-18,2022,4,18,10.7,-2.7,4,3.2,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-19,2022,4,19,4.6,0.2,2.4,24.5,6,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-20,2022,4,20,8.4,-0.5,3.9,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-21,2022,4,21,12.8,1.6,7.2,3,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-22,2022,4,22,12.1,1.1,6.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-23,2022,4,23,10.5,-0.5,5,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-24,2022,4,24,13.4,3.6,8.5,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-25,2022,4,25,18.4,5.8,12.1,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-26,2022,4,26,15.3,8.9,12.1,1.6,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-27,2022,4,27,8.9,1.5,5.2,11.7,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-28,2022,4,28,10.4,1.3,5.8,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-29,2022,4,29,13.6,1.1,7.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-04-30,2022,4,30,15.3,2.2,8.8,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-01,2022,5,1,18.8,2.1,10.5,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-02,2022,5,2,15.8,6.9,11.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-03,2022,5,3,17.8,10.6,14.2,1.1,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-04,2022,5,4,15.9,6.6,11.3,5,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-05,2022,5,5,17.3,4.7,11,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-06,2022,5,6,14.4,5.9,10.2,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-07,2022,5,7,14,3.1,8.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-08,2022,5,8,18.2,3.6,10.9,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-09,2022,5,9,22.9,6,14.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-10,2022,5,10,24.1,5.4,14.8,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-11,2022,5,11,27.9,6.3,17.1,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-12,2022,5,12,30.1,9.4,19.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-13,2022,5,13,31,12.3,21.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-14,2022,5,14,31.5,17.2,24.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-15,2022,5,15,22.7,16.2,19.4,12.9,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-16,2022,5,16,24,12.1,18.1,32.6,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-17,2022,5,17,16.1,9.9,13,1.3,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-18,2022,5,18,16.7,6.4,11.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-19,2022,5,19,12.6,5.2,8.9,5.8,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-20,2022,5,20,25.1,7.1,16.1,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-21,2022,5,21,31,18.3,24.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-22,2022,5,22,25.3,10.9,18.1,0.5,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-23,2022,5,23,15.5,5.7,10.6,0.2,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-24,2022,5,24,18,4.1,11,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-25,2022,5,25,22.1,5.5,13.8,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-26,2022,5,26,24.1,13.7,18.9,0.3,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-27,2022,5,27,21.9,16.9,19.4,21.1,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-28,2022,5,28,20.7,14.8,17.7,0.9,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-29,2022,5,29,25.2,13.2,19.2,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-30,2022,5,30,27.9,15.1,21.5,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-05-31,2022,5,31,22.5,13.1,17.8,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-01,2022,6,1,17.3,12.8,15.1,0.5,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-02,2022,6,2,21.7,11.6,16.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-03,2022,6,3,24.1,14.8,19.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-04,2022,6,4,21.9,11.5,16.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-05,2022,6,5,21.7,9.9,15.8,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-06,2022,6,6,24.2,8.5,16.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-07,2022,6,7,25.7,15.2,20.4,12.1,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-08,2022,6,8,23.4,15,19.2,0.2,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-09,2022,6,9,17.2,13.4,15.3,11.5,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-10,2022,6,10,20.4,13.8,17.1,0.3,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-11,2022,6,11,24.3,12.9,18.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-12,2022,6,12,24.9,11.6,18.3,0.2,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-13,2022,6,13,22.3,15,18.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-14,2022,6,14,26.6,13.3,20,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-15,2022,6,15,24.7,14.8,19.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-16,2022,6,16,27.3,17.9,22.6,25.9,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-17,2022,6,17,25.9,10.9,18.4,6.4,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-18,2022,6,18,16.1,9.5,12.8,2.4,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-19,2022,6,19,21.8,8.6,15.2,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-20,2022,6,20,24.6,11,17.8,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-21,2022,6,21,18.6,14.9,16.8,9.1,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-22,2022,6,22,24.4,14.7,19.5,53.4,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-23,2022,6,23,18.7,15.1,16.9,33.6,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-24,2022,6,24,27,14.5,20.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-25,2022,6,25,29.6,17.7,23.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-26,2022,6,26,32.7,17.2,25,3.8,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-27,2022,6,27,23.4,16.7,20,0.4,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-28,2022,6,28,23.4,15.9,19.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-29,2022,6,29,25.6,13.6,19.6,1.8,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-06-30,2022,6,30,23.1,12.1,17.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-01,2022,7,1,27.5,16.3,21.9,0.2,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-02,2022,7,2,26.2,17.1,21.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-03,2022,7,3,24.6,14.3,19.5,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-04,2022,7,4,25.6,13.1,19.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-05,2022,7,5,20.9,16,18.5,0.4,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-06,2022,7,6,24.3,12.1,18.2,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-07,2022,7,7,25.1,11.3,18.2,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-08,2022,7,8,25.9,14.7,20.3,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-09,2022,7,9,22.8,8.6,15.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-10,2022,7,10,26.8,12.5,19.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-11,2022,7,11,29.1,18.3,23.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-12,2022,7,12,27.8,18.1,22.9,8.7,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-13,2022,7,13,25.5,17.5,21.5,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-14,2022,7,14,22.8,14.2,18.5,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-15,2022,7,15,27.3,14.4,20.9,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-16,2022,7,16,28.6,18.3,23.5,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-17,2022,7,17,30.7,17.8,24.2,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-18,2022,7,18,25.6,16.8,21.2,42.8,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-19,2022,7,19,29,19.2,24.1,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-20,2022,7,20,30.1,18.7,24.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-21,2022,7,21,29.8,23,26.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-22,2022,7,22,29.1,20.2,24.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-23,2022,7,23,30.2,19.5,24.8,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-24,2022,7,24,28.9,21.2,25,18.5,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-25,2022,7,25,25.5,17.2,21.3,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-26,2022,7,26,24.5,16.1,20.3,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-27,2022,7,27,26.5,16.7,21.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-28,2022,7,28,28.5,15.6,22,3.2,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-29,2022,7,29,25,18.2,21.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-30,2022,7,30,22.9,16.3,19.6,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-07-31,2022,7,31,25.9,17.1,21.5,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-01,2022,8,1,29.5,18,23.8,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-02,2022,8,2,26.5,13.6,20.1,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-03,2022,8,3,26.1,11.8,18.9,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-04,2022,8,4,26.5,19.6,23,2.8,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-05,2022,8,5,28,16.7,22.3,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-06,2022,8,6,32,14.2,23.1,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-07,2022,8,7,31.6,18.1,24.9,7.9,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-08,2022,8,8,18.1,14.2,16.2,11.1,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-09,2022,8,9,18.8,14.2,16.5,12.9,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-10,2022,8,10,24.5,16.4,20.5,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-11,2022,8,11,25.1,15,20.1,0.3,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-12,2022,8,12,20,13.8,16.9,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-13,2022,8,13,24.3,11.1,17.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-14,2022,8,14,26.3,12.5,19.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-15,2022,8,15,26.9,12.2,19.5,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-16,2022,8,16,28.3,13.8,21.1,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-17,2022,8,17,26.8,16.5,21.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-18,2022,8,18,25.9,17.6,21.7,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-19,2022,8,19,29.7,17.2,23.4,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-20,2022,8,20,30.4,15.3,22.9,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-21,2022,8,21,29.6,16.4,23,14.7,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-22,2022,8,22,27.1,19.1,23.1,0,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-23,2022,8,23,24.6,17.8,21.2,14.1,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-24,2022,8,24,27.9,16.7,22.3,2.3,0,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-08-25,2022,8,25,23.6,16.1,19.9,0,0,0,,,,,,,,,,
